date_of_birth,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,movie,person
30-ιπε-00,1,Na,1,Straight,1,1972,1,Best Actor,The French Connection,Gene Hackman
03-ιπε-00,1,Deist,1,Bisexual,0.6667,1973,1,Best Actor,The Godfather,Marlon Brando
08-ιπε-00,1,Roman Catholic,1,Straight,1,1974,1,Best Actor,Save the Tiger,Jack Lemmon
04-ιπε-00,1,Na,1,Straight,1,1975,1,Best Actor,Harry and Tonto,Art Carney
22-ιπε-00,1,Atheist,1,Straight,1,1976,1,Best Actor,One Flew Over the Cuckoo's Nest,Jack Nicholson
28-ιπε-00,1,Na,1,Straight,1,1977,1,Best Actor,Network,Peter Finch
29-ιπε-00,1,Jewish,1,Straight,1,1978,1,Best Actor,The Goodbye Girl,Richard Dreyfuss
29-ιπε-00,1,Roman Catholic,1,Straight,1,1979,1,Best Actor,Coming Home,Jon Voight
08-ιπε-00,1,Jewish,1,Straight,1,1980,1,Best Actor,Kramer vs. Kramer,Dustin Hoffman
17-ιπε-00,1,Roman Catholic,1,Straight,1,1981,1,Best Actor,Raging Bull,Robert De Niro
16-ιπε-00,1,Na,1,Straight,1,1982,1,Best Actor,On Golden Pond,Henry Fonda
31-ιπε-00,1,Quaker,1,Straight,1,1983,1,Best Actor,Gandhi,Ben Kingsley
05-ιπε-00,1,Na,1,Straight,1,1984,1,Best Actor,Tender Mercies,Robert Duvall
24-ιπε-00,1,Na,1,Straight,1,1985,1,Best Actor,Amadeus,F. Murray Abraham
20-ιπε-00,1,Lutheran,1,Straight,1,1986,1,Best Actor,Kiss of the Spider Woman,William Hurt
26-ιπε-00,1,Jewish,1,Straight,1,1987,1,Best Actor,The Color of Money,Paul Newman
25-ιπε-00,1,Jewish,1,Straight,1,1988,1,Best Actor,Wall Street,Michael Douglas
08-ιπε-00,1,Jewish,1,Straight,1,1989,1,Best Actor,Rainman,Dustin Hoffman
29-ιπε-00,1,Na,1,Straight,1,1990,1,Best Actor,My Left Foot,Daniel Day-Lewis
19-ιπε-00,1,Na,1,Straight,1,1991,1,Best Actor,Reversal of Fortune,Jeremy Irons
31-ιπε-00,1,Na,1,Straight,1,1992,1,Best Actor,Silence of the Lambs,Anthony Hopkins
25-ιπε-00,1,Roman Catholic,1,Straight,1,1993,1,Best Actor,Scent of a Woman,Al Pacino
09-ιπε-00,1,Born-Again Christian,1,Straight,1,1994,1,Best Actor,Philadelphia,Tom Hanks
09-ιπε-00,1,Born-Again Christian,1,Straight,1,1995,1,Best Actor,Forrest Gump,Tom Hanks
07-ιπε-00,1,Roman Catholic,1,Straight,1,1996,1,Best Actor,Leaving Las Vegas,Nicolas Cage
06-ιπε-00,1,Na,1,Straight,1,1997,1,Best Actor,Shine,Geoffrey Rush
22-ιπε-00,1,Atheist,1,Straight,1,1997,1,Best Actor,As Good as It Gets,Jack Nicholson
27-ιπε-00,1,Na,1,Straight,1,1999,1,Best Actor,Life is Beautiful,Roberto Benigni
26-ιπε-00,1,Na,1,Matter of Dispute,0.6667,2000,1,Best Actor,American Beauty,Kevin Spacey
07-ιπε-00,1,Na,0.6562,Straight,1,2001,1,Best Actor,Gladiator,Russell Crowe
28-ιπε-00,1,Protestant,1,Straight,1,2002,1,Best Actor,Training Day,Denzel Washington
14-ιπε-00,1,Jewish,1,Straight,1,2003,1,Best Actor,The Pianist,Adrien Brody
17-ιπε-00,1,Roman Catholic,1,Straight,1,2003,1,Best Actor,Mystic River,Sean Penn
13-ιπε-00,1,Baptist,1,Straight,1,2005,1,Best Actor,Ray,Jamie Foxx
23-ιπε-00,1,Na,1,Straight,1,2006,1,Best Actor,Capote,Philip Seymour Hoffman
15-ιπε-00,1,Na,1,Straight,1,2007,1,Best Actor,The Last King of Scotland,Forest Whitaker
29-ιπε-00,1,Na,1,Straight,1,2008,1,Best Actor,There Will Be Blood,Daniel Day-Lewis
17-ιπε-00,1,Roman Catholic,1,Straight,1,2009,1,Best Actor,Milk,Sean Penn
04-ιπε-00,1,Lutheran,1,Straight,1,2010,1,Best Actor,Crazy Heart,Jeff Bridges
10-ιπε-00,1,Na,1,Straight,1,2011,1,Best Actor,The King's Speech,Colin Firth
19-ιπε-00,1,Na,1,Straight,1,2012,1,Best Actor,The Artist,Jean Dujardin
29-ιπε-00,1,Na,1,Straight,1,2013,1,Best Actor,Lincoln,Daniel Day-Lewis
04-ιπε-00,1,Na,1,Straight,1,2014,1,Best Actor,Dallas Buyers Club,Matthew McConaughey
25-Jul-1894,1,Na,1,Straight,1,1938,1,Best Supporting Actor,Come and Get It,Walter Brennan
22-Mar-1896,1,Na,1,Straight,1,1938,1,Best Supporting Actor,The Life of Emile Zola,Joseph Schildkraut
25-Jul-1894,1,Na,1,Straight,1,1939,1,Best Supporting Actor,Kentucky,Walter Brennan
11-Jul-1892,1,Na,1,Straight,1,1940,1,Best Supporting Actor,Stagecoach,Thomas Mitchell
25-Jul-1894,1,Na,1,Straight,1,1941,1,Best Supporting Actor,The Westerner,Walter Brennan
27-Jul-1880,1,Na,1,Straight,1,1942,1,Best Supporting Actor,How Green Was My Valley,Donald Crisp
13-ιπε-00,1,Na,1,Straight,1,1943,1,Best Supporting Actor,Johnny Eager,Van Heflin
17-Jun-1877,1,Na,1,Straight,1,1944,1,Best Supporting Actor,The More the Merrier,Charles Coburn
10-Mar-1888,1,Protestant,1,Na,1,1945,1,Best Supporting Actor,Going My Way,Barry Fitzgerald
02-ιπε-00,1,Na,1,Straight,1,1946,1,Best Supporting Actor,A Tree Grows in Brooklyn,James Dunn
