date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,movie,person
29-אפר-57,White,Na,Straight,2013,Lincoln,Daniel Day-Lewis
04-נוב-69,White,Na,Straight,2014,Dallas Buyers Club,Matthew McConaughey
25-Jul-1894,White,Na,Straight,1938,Come and Get It,Walter Brennan
22-Mar-1896,White,Na,Straight,1938,The Life of Emile Zola,Joseph Schildkraut
25-Jul-1894,White,Na,Straight,1939,Kentucky,Walter Brennan
11-Jul-1892,White,Na,Straight,1940,Stagecoach,Thomas Mitchell
25-Jul-1894,White,Na,Straight,1941,The Westerner,Walter Brennan
27-Jul-1880,White,Na,Straight,1942,How Green Was My Valley,Donald Crisp
13-דצמ-10,White,Na,Straight,1943,Johnny Eager,Van Heflin
17-Jun-1877,White,Na,Straight,1944,The More the Merrier,Charles Coburn
10-Mar-1888,White,Protestant,Na,1945,Going My Way,Barry Fitzgerald
02-נוב-01,White,Na,Straight,1946,A Tree Grows in Brooklyn,James Dunn
14-ינו-14,White,Na,Straight,1947,The Best Years of Our Lives,Harold Russell
26-Sep-1875,White,Na,Na,1948,Miracle on 34th Street,Edmund Gwenn
6-Apr-1884,White,Na,Straight,1949,The Treasure of the Sierra Madre,Walter Huston
07-נוב-03,White,Na,Straight,1950,Twelve O'Clock High,Dean Jagger
03-יול-06,White,Na,Straight,1951,All About Eve,George Sanders
22-מרץ-12,White,Na,Straight,1952,A Streetcar Named Desire,Karl Malden
21-אפר-15,Hispanic,Na,Straight,1953,Viva Zapata!,Anthony Quinn
12-דצמ-15,White,Na,Straight,1954,From Here to Eternity,Frank Sinatra
10-ספט-15,White,Roman Catholic,Straight,1955,The Barefoot Contessa,Edmond O'Brien
08-פבר-25,White,Roman Catholic,Straight,1956,Mister Roberts,Jack Lemmon
21-אפר-15,Hispanic,Na,Straight,1957,Lust for Life,Anthony Quinn
05-פבר-19,White,Jewish,Straight,1958,Sayonara,Red Buttons
14-יונ-09,White,Na,Straight,1959,The Big Country,Burl Ives
30-מאי-12,White,Na,Na,1960,Ben-Hur,Hugh Griffith
16-אפר-21,White,Na,Straight,1961,Spartacus,Peter Ustinov
16-ספט-34,White,Na,Gay,1962,West Side Story,George Chakiris
25-מרץ-01,White,Na,Straight,1963,Sweet Bird of Youth,"Ed Begley, Sr."
05-אפר-01,White,Jewish,Straight,1964,Hud,Melvyn Douglas
16-אפר-21,White,Na,Straight,1965,Topkapi,Peter Ustinov
04-נוב-19,White,Na,Straight,1966,A Thousand Clowns,Martin Balsam
01-אוק-20,White,Jewish,Straight,1967,The Fortune Cookie,Walter Matthau
18-פבר-25,White,Na,Straight,1968,Cool Hand Luke,George Kennedy
16-יונ-07,White,Na,Na,1969,The Subject Was Roses,Jack Albertson
04-נוב-13,White,Na,Straight,1970,"They Shoot Horses, Don't They?",Gig Young
22-פבר-08,White,Na,Straight,1971,Ryan's Daughter,John Mills
13-יונ-18,White,Na,Straight,1972,The Last Picture Show,Ben Johnson
11-אפר-32,White,Jewish,Gay,1973,Cabaret,Joel Grey
22-ספט-02,White,Na,Straight,1974,The Paper Chase,John Houseman
17-אוג-43,White,Roman Catholic,Straight,1975,The Godfather Part II,Robert De Niro
20-Jan-1896,White,Jewish,Straight,1976,The Sunshine Boys,George Burns
26-יול-22,White,Na,Straight,1977,All the President's Men,Jason Robards
26-יול-22,White,Na,Straight,1978,Julia,Jason Robards
31-מרץ-43,White,Na,Straight,1979,The Deer Hunter,Christopher Walken
05-אפר-01,White,Jewish,Straight,1980,Being There,Melvyn Douglas
16-אוג-60,White,Na,Straight,1981,Oridnary People,Timothy Hutton
14-אפר-04,White,Na,Gay,1982,Arthur,John Gielgud
27-מאי-36,Black,Na,Straight,1983,An Officer and a Gentleman,"Lou Gossett, Jr."
22-אפר-37,White,Atheist,Straight,1984,Terms of Endearment,Jack Nicholson
22-מרץ-40,Asian,Buddhist,Straight,1985,The Killing Fields,Haing S. Ngor
31-מאי-04,White,Roman Catholic,Straight,1986,Cocoon,Don Ameche
14-מרץ-33,White,Na,Straight,1987,Hannah and Her Sisters,Michael Caine
25-אוג-30,White,Roman Catholic,Straight,1988,The Untouchables,Sean Connery
24-אוק-47,White,Roman Catholic,Straight,1989,A Fish Called Wanda,Kevin Kline
28-דצמ-54,Black,Protestant,Straight,1990,Glory,Denzel Washington
09-פבר-43,White,Na,Straight,1991,Good Fellas,Joe Pesci
18-פבר-19,White,Na,Straight,1992,City Slickers,Jack Palance
30-ינו-30,White,Na,Straight,1993,Unforgiven,Gene Hackman
15-ספט-46,White,Na,Straight,1994,The Fugitive,Tommy Lee Jones
20-יונ-31,White,Jewish,Straight,1995,Ed Wood,Martin Landau
26-יול-59,White,Na,Matter of Dispute,1996,The Usual Suspects,Kevin Spacey
02-ינו-68,Black,Na,Straight,1997,Jerry Maguire,"Cuba Gooding, Jr."
21-יול-51,White,Anglican/episcopalian,Straight,1998,Good Will Hunting,Robin Williams
31-אוג-28,White,Na,Straight,1999,Affliction,James Coburn
14-מרץ-33,White,Na,Straight,2000,The Cider House Rules,Michael Caine
19-פבר-67,Hispanic,Na,Straight,2001,Traffic,Benicio Del Toro
24-מאי-49,White,Na,Straight,2002,Iris,Jim Broadbent
09-יול-51,White,Na,Straight,2003,Adaptation,Chris Cooper
16-אוק-58,White,Roman Catholic,Straight,2004,Mystic River,Tim Robbins
01-יונ-37,Black,Na,Straight,2005,Million Dollar Baby,Morgan Freeman
06-מאי-61,White,Na,Straight,2006,Syriana,George Clooney
26-מרץ-34,White,Jewish,Straight,2007,Little Miss Sunshine,Alan Arkin
01-מרץ-69,Hispanic,Na,Straight,2008,No Country for Old Men,Javier Bardem
04-אפר-79,White,Na,Straight,2009,The Dark Knight,Heath Ledger
04-אוק-56,White,Na,Straight,2010,Inglourious Basterds,Christoph Waltz
30-ינו-74,White,Na,Straight,2011,The Fighter,Christian Bale
13-דצמ-29,White,Na,Straight,2012,Beginning,Christopher Plummer
04-אוק-56,White,Na,Straight,2013,Django Unchained,Christoph Waltz
26-דצמ-71,White,Na,Straight,2014,Dallas Buyers Club,Jared Leto
06-אוק-06,White,Na,Straight,1929,7th Heaven,Janet Gaynor
8-Apr-1892,White,Na,Straight,1930,Coquette,Mary Pickford
10-אוג-02,White,Na,Straight,1930,The Divorcee,Norma Shearer
2-Nov-1868,White,Na,Straight,1931,Min and Bill,Marie Dressler
10-אוק-00,White,Na,Straight,1932,The Sin of Madelon Claudet,Helen Hayes
12-מאי-07,White,Atheist,Bisexual,1934,Morning Glory,Katharine Hepburn
13-ספט-03,White,Na,Straight,1935,It Happened One Night,Claudette Colbert
05-אפר-08,White,Na,Straight,1936,Dangerous,Bette Davis
12-ינו-10,White,Jewish,Straight,1937,The Great Ziegfeld,Luise Rainer
12-ינו-10,White,Jewish,Straight,1938,The Good Earth,Luise Rainer
05-אפר-08,White,Na,Straight,1939,Jezebel,Bette Davis
05-נוב-13,White,Roman Catholic,Straight,1940,Gone with the Wind,Vivien Leigh
16-יול-11,White,Christian Science,Straight,1941,Kitty Foyle,Ginger Rogers
22-אוק-17,White,Na,Straight,1940,Suspicion,Joan Fontaine
29-ספט-04,White,Na,Straight,1942,Mrs. Miniver,Greer Garson
02-מרץ-19,White,Roman Catholic,Straight,1944,The Song of Bernadette,Jennifer Jones
29-אוג-15,White,Na,Straight,1945,Gaslight,Ingrid Bergman
23-מרץ-05,White,Christian Science,Bisexual,1946,Mildred Pierce,Joan Crawford
01-יול-16,White,Na,Straight,1947,To Each His Own,Olivia de Havilland
06-ינו-13,White,Roman Catholic,Straight,1948,The Farmer's Daughter,Loretta Young
05-ינו-17,White,Roman Catholic,Straight,1949,Johnny Belinda,Jane Wyman
01-יול-16,White,Na,Straight,1950,The Heiress,Olivia de Havilland
21-יונ-21,White,Na,Straight,1951,Born Yesterday,Judy Holliday
05-נוב-13,White,Roman Catholic,Straight,1952,A Streetcar Named Desire,Vivien Leigh
30-Aug-1898,White,Na,Straight,1953,"Come Back, Little Sheba",Shirley Booth
04-מאי-29,White,Christian Science,Straight,1954,Roman Holiday,Audrey Hepburn
12-נוב-29,White,Roman Catholic,Straight,1955,The Country Girl,Grace Kelly
07-מרץ-08,White,Na,Straight,1956,The Rose Tattoo,Anna Magnani
29-אוג-15,White,Na,Straight,1957,Anastasia,Ingrid Bergman
27-פבר-30,White,Na,Straight,1958,The Three Faces of Eve,Joanne Woodward
30-יונ-18,White,Roman Catholic,Straight,1959,I Want To Live!,Susan Hayward
25-מרץ-21,White,Na,Straight,1960,Room at the Top,Simone Signoret
27-פבר-32,White,Jewish,Straight,1961,Butterfield 8,Elizabeth Taylor
20-ספט-34,White,Roman Catholic,Straight,1962,Two Women,Sophia Loren
17-ספט-31,White,Roman Catholic,Straight,1963,The Miracle Worker,Anne Bancroft
20-ינו-26,White,Roman Catholic,Straight,1964,Hud,Patricia Neal
01-אוק-35,White,Na,Straight,1965,Mary Poppins,Julie Andrews
14-אפר-41,White,Na,Straight,1966,Darling,Julie Christie
27-פבר-32,White,Jewish,Straight,1967,Who's Afraid of Virginia Woolf?,Elizabeth Taylor
12-מאי-07,White,Atheist,Bisexual,1968,Guess Who's Coming to Dinner,Katharine Hepburn
24-אפר-42,White,Jewish,Straight,1969,Funny Girl,Barbra Streisand
12-מאי-07,White,Atheist,Bisexual,1969,The Lion in Winter,Katharine Hepburn
28-דצמ-34,White,Na,Straight,1970,The Prime of Miss Jean Brodie,Maggie Smith
09-מאי-36,White,Na,Straight,1971,Women in Love,Glenda Jackson
21-דצמ-37,White,Born-Again Christian,Straight,1972,Klute,Jane Fonda
12-מרץ-46,White,Na,Na,1973,Cabaret,Liza Minnelli
09-מאי-36,White,Na,Straight,1974,A Touch of Class,Glenda Jackson
07-דצמ-32,White,Sufism,Straight,1975,Alice Doesn't Live Here Anymore,Ellen Burstyn
22-יול-34,White,Na,Straight,1976,One Flew Over the Cuckoo's Nest,Louise Fletcher
14-ינו-41,White,Roman Catholic,Straight,1977,Network,Faye Dunaway
05-ינו-46,White,Atheist,Straight,1978,Annie Hall,Diane Keaton
